Warehouse,Job Function,ID,Haptic Group,Baseline File Count,Baseline Average Lift Rate,Baseline Average Max Forward Bend,Baseline Average Max Tilt Velocity,Baseline Average Twist Velocity,Baseline Average Safety Score,Intervention File Count,Intervention Average Lift Rate,Intervention Average Max Forward Bend,Intervention Average Max Tilt Velocity,Intervention Average Twist Velocity,Intervention Average Safety Score
Albany,Package Handler,A8R948413885,3 bends in 8 minute window over 65 degrees,21,120.3,86.8,103.7,22.3,57.5,23,101.8,71.5,120.4,22.9,54.9
Albany,Package Handler,A8R972399909,3 bends in 8 minute window over 65 degrees,14,120.2,108.9,96.2,19.7,57.4,19,143.9,109.3,104.1,21.9,52.7
Albany,Package Handler,A8R957478952,2 bends in 5 minute window over 65 degrees,13,120.2,94.3,73.3,19.2,67.9,20,110.1,73.7,82.9,20,68.1
Albany,Package Handler,A8R973131312,3 bends in 8 minute window over 65 degrees,14,120.1,84.2,75.2,22.6,67.3,11,108.9,77.8,75.6,22.8,68.5
Albany,Package Handler,A8R973676242,2 bends in 5 minute window over 65 degrees,3,119.7,76.8,79.6,21.6,67.8,,,,,,
Albany,Package Handler,A8R975094532,2 bends in 5 minute window over 65 degrees,5,119.6,90.2,77.2,18,67.4,,,,,,
Albany,Package Handler,A8R948427655,2 bends in 10 minute window over 65 degrees,9,118.9,91.5,86.5,23.7,62,6,115.8,91.2,89,22.4,62
Albany,Package Handler,A8R960222142,3 bends in 8 minute window over 65 degrees,14,118.8,84.4,76.7,20.6,67.9,19,116.3,77.7,75,21,69.5
Albany,Package Handler,A8R948413425,3 bends in 8 minute window over 65 degrees,8,118.7,94.8,80.3,20.1,64.6,9,67.2,71.8,120.9,22.4,55.9
Albany,Package Handler,A8R948416990,2 bends in 10 minute window over 65 degrees,19,118.3,90.7,91.7,21,61.9,24,105.1,82.4,98.4,21,61.5
Albany,Package Handler,A8R948416923,3 bends in 8 minute window over 65 degrees,8,118,86.6,86.9,24.3,62.5,12,83.8,64.1,70.7,24.4,72.5
Albany,Package Handler,A8R957043792,2 bends in 10 minute window over 65 degrees,16,118,74.7,67.2,21.8,71.8,19,121.2,76.2,67,22.6,71.3
Albany,Package Handler,A8R970440972,2 bends in 5 minute window over 65 degrees,8,117.9,76.9,84.9,23.6,65,8,126.5,77.1,87,24.4,63.8
Albany,Package Handler,A8R974156042,3 bends in 8 minute window over 65 degrees,12,117.8,95.6,95.1,22.4,59.1,17,94.5,79.7,79.2,19.1,68.8
Albany,Package Handler,A8R948418412,3 bends in 8 minute window over 65 degrees,16,117.7,100.7,74.2,18.6,67.2,15,110,99.5,77.2,18.2,66.8
Albany,Package Handler,A8R948442786,2 bends in 10 minute window over 65 degrees,22,117.6,89.1,81.1,19.6,66.5,3,115.5,85.6,63.2,18.5,72.3
Albany,Package Handler,A8R948411614,2 bends in 10 minute window over 65 degrees,19,117.5,95.3,71.9,19.3,68.1,,,,,,
Albany,Package Handler,A8R973817812,2 bends in 5 minute window over 65 degrees,9,117.1,77.3,69.9,20.5,71,7,123.3,75.8,56.5,19.8,74.5
Albany,Package Handler,A8R948404582,2 bends in 5 minute window over 65 degrees,7,116.7,92.6,82.6,22.7,63.3,6,91.6,71.3,64.2,22.2,73.7
Albany,Package Handler,A8R948408979,2 bends in 5 minute window over 65 degrees,21,116.5,95.6,66,21.4,69.1,26,106.9,80.9,69.8,21.3,70.6
Albany,Package Handler,A8R975923159,2 bends in 5 minute window over 65 degrees,20,116.4,91,78.9,18.9,67,25,108.7,92.3,85.5,18.6,65
Albany,Package Handler,A8R964492602,3 bends in 8 minute window over 65 degrees,1,116.3,79.6,71.7,21.7,69.3,12,88.3,83.7,91.2,19.8,63.7
Albany,Package Handler,A8R948455588,2 bends in 5 minute window over 65 degrees,18,116.1,85.7,82.4,22.6,64.9,,,,,,
Albany,Package Handler,A8R961334002,3 bends in 8 minute window over 65 degrees,13,115.6,103.5,90.8,20.7,59.5,17,98.3,74.4,97.2,21,63.1
Albany,Package Handler,A8R948454958,3 bends in 8 minute window over 65 degrees,13,115.4,86.3,85.6,21.3,63.8,,,,,,
Albany,Package Handler,A8R948455091,2 bends in 5 minute window over 65 degrees,10,115.3,83.9,89.2,23.3,62.7,6,111.8,79.8,77.9,23.2,66.9
Albany,Package Handler,A8R948455252,2 bends in 5 minute window over 65 degrees,19,115.3,94.9,91.7,22.4,60.4,11,78.8,82.1,95.2,20.1,63.7
Albany,Package Handler,A8R952526571,2 bends in 10 minute window over 65 degrees,20,114.8,90,86.2,20,63.9,18,47.1,58.4,79.3,22.4,72.7
Albany,Package Handler,A8R948483848,3 bends in 8 minute window over 65 degrees,12,114.7,85.4,76.3,22,67.4,15,106.6,74.1,78.7,22.3,68.6
Albany,Package Handler,A8R948450178,2 bends in 10 minute window over 65 degrees,20,114.6,96.7,91,20.7,61.2,28,108.2,84,100,21.3,60.3
Albany,Package Handler,A8R977216652,3 bends in 8 minute window over 65 degrees,27,114.5,80.6,74.4,20.9,69,32,61.1,57.3,68.4,20.2,76.3
Albany,Package Handler,A8R980040419,2 bends in 10 minute window over 65 degrees,1,114.5,85.8,60.5,19.2,72.8,2,86.3,81,54,17.7,76.9
Albany,Package Handler,A8R948421064,3 bends in 8 minute window over 65 degrees,2,114.5,85,89.8,17.9,65,3,123.4,77.2,93,23,62.5
Albany,Package Handler,A8R975880429,2 bends in 10 minute window over 65 degrees,15,114.5,88.4,66,19.2,71.3,15,119.9,84.3,61.3,19.2,72.9
Albany,Package Handler,A8R972326409,2 bends in 10 minute window over 65 degrees,10,114.2,92.1,82.6,23.6,62.4,,,,,,
Albany,Package Handler,A8R969411289,2 bends in 5 minute window over 65 degrees,19,114,82.6,81.2,18.8,67.9,24,87.6,59.7,74.7,20.1,73.8
Albany,Package Handler,A8R948467840,2 bends in 10 minute window over 65 degrees,7,113.9,84.6,73.7,20.1,68.7,10,100.4,65.3,64.7,20.9,74.7
Albany,Package Handler,A8R948440087,2 bends in 5 minute window over 65 degrees,3,112.9,84.2,85.8,23.3,63.9,3,104.2,76.8,81.7,23.9,66.6
Albany,Package Handler,A8R948433012,2 bends in 5 minute window over 65 degrees,7,112.5,93.9,64.9,22.9,69,10,109,94.4,73.6,22.6,66.3
Albany,Package Handler,8859362,2 bends in 5 minute window over 65 degrees,9,112.4,81.8,86.8,24.4,63.3,23,106,76.4,86.1,25.2,64.3
Albany,Package Handler,A8R948422807,3 bends in 8 minute window over 65 degrees,3,112.3,79,66.5,19.5,72.6,7,110.6,79.9,87.5,21,65.2
Albany,Package Handler,A8R964492622,2 bends in 10 minute window over 65 degrees,10,112.3,90.2,84.9,20.5,64.8,13,100.8,88.9,86.4,19.1,65.6
Albany,Package Handler,A8R948437555,3 bends in 8 minute window over 65 degrees,9,112.1,89.9,77.4,20.3,67.2,5,100.6,81,89.6,21.5,64.3
Albany,Package Handler,A8R951385630,2 bends in 10 minute window over 65 degrees,3,112.1,88.4,93.2,21.2,61.2,6,111.9,79.8,88,22.6,64.4
Albany,Package Handler,A8R960960864,2 bends in 5 minute window over 65 degrees,23,111.9,88.7,87.1,22.3,63.3,11,91.5,68.8,82.8,22.2,68.8
Albany,Package Handler,A8R976283492,3 bends in 8 minute window over 65 degrees,18,111.9,77.5,64.1,19.3,73.5,15,90.3,63.5,54.3,16.8,79.2
Albany,Package Handler,A8R976158909,2 bends in 10 minute window over 65 degrees,20,111.7,82,77.2,20,68.5,16,97.5,66.2,64.8,19.7,75.1
Albany,Package Handler,A8R964130122,2 bends in 5 minute window over 65 degrees,18,111.6,91.4,89.5,20.7,62.8,25,95.5,85.3,94.2,19.5,63.3
Albany,Package Handler,A8R948423022,2 bends in 10 minute window over 65 degrees,9,111.5,82.1,66,20.6,71.1,,,,,,
Albany,Package Handler,9085,3 bends in 8 minute window over 65 degrees,5,111.5,78.8,89.9,20.1,64.8,,,,,,
Albany,Package Handler,A8R931955899,2 bends in 5 minute window over 65 degrees,20,109.8,91.5,77,18.3,68.2,15,92.5,78.6,73.8,18.3,71.7
Albany,Package Handler,A8R960922882,2 bends in 10 minute window over 65 degrees,11,109.2,85.1,79.4,19.5,67.3,7,66.6,64.5,63.6,17.1,77.6
Albany,Package Handler,A8R952609708,2 bends in 5 minute window over 65 degrees,19,108.8,85.4,79.2,18.8,67.9,28,82.5,67.5,80.4,19.6,70.6
Albany,Package Handler,A8R948417430,2 bends in 5 minute window over 65 degrees,22,108,98.3,80,20.1,65.2,20,96.5,71.4,71.8,19.9,72.6
Albany,Package Handler,A8R948425439,2 bends in 5 minute window over 65 degrees,23,108,81.4,79.4,21.6,67.6,29,113.5,84.2,77.3,21.2,67.7
Albany,Package Handler,A8R952526661,3 bends in 8 minute window over 65 degrees,12,107.7,89.2,70.8,20.6,68.4,8,92.5,86.8,75.3,19.4,68.3
Albany,Package Handler,A8R970438509,3 bends in 8 minute window over 65 degrees,20,106.9,70.2,55.2,20.4,76.7,25,86.4,60.6,54.4,21.2,78.6
Albany,Package Handler,A8R948481688,3 bends in 8 minute window over 65 degrees,8,106.4,95.4,105.7,19.9,57.1,4,103.6,73.9,82.1,22.6,67.5
Albany,Package Handler,A8R969411239,2 bends in 5 minute window over 65 degrees,17,106.1,93.8,86.1,20.7,63.3,5,63.4,71.3,73.8,17.7,73.3
Albany,Package Handler,A8R969937612,3 bends in 8 minute window over 65 degrees,12,105.8,88.3,72,18.3,70.2,31,91.6,70,74.4,17.6,73.2
Albany,Package Handler,A8R952609753,2 bends in 5 minute window over 65 degrees,23,105.7,92.8,79.5,17.1,67.5,21,98.8,79.7,76.6,16.6,71
Albany,Package Handler,A8R958488582,2 bends in 10 minute window over 65 degrees,12,105.6,87.1,83,22.2,65.2,3,91.6,74.9,78.9,22.1,69.2
Albany,Package Handler,A8R948421671,2 bends in 5 minute window over 65 degrees,11,105.5,73.4,79.3,23.7,67.9,8,120.2,73.6,84.2,24,65.8
Albany,Package Handler,929,3 bends in 8 minute window over 65 degrees,14,104.6,81.5,64.6,21.1,72.2,8,80.8,65.8,66.9,22.3,74.1
Albany,Package Handler,A8R972267719,2 bends in 10 minute window over 65 degrees,2,104.1,74.3,71.3,18.9,72.3,7,91.1,74.4,69.1,18.1,73.6
Albany,Package Handler,A8R948413368,2 bends in 10 minute window over 65 degrees,3,103.9,77,87.8,23.9,64.5,,,,,,
Albany,Package Handler,A8R976497712,2 bends in 5 minute window over 65 degrees,17,103.6,88.7,105.6,20.2,56.8,17,36.2,50.7,130.2,19.6,58.4
Albany,Package Handler,A8R976273282,2 bends in 5 minute window over 65 degrees,11,103,90.7,79.8,18.9,66.8,18,72.5,77.9,83.2,15.4,70.1
Albany,Package Handler,A8R960922892,2 bends in 5 minute window over 65 degrees,9,102.8,74.2,78.2,19.5,69.7,,,,,,
Albany,Package Handler,A8R958047452,2 bends in 10 minute window over 65 degrees,16,102.3,79.3,69.1,20.1,71.7,8,75.1,73.3,76.1,17,72.5
Albany,Package Handler,A8R948469606,2 bends in 10 minute window over 65 degrees,2,102.1,75.1,62.4,21.1,73.8,2,115,69.7,73.4,24.2,70
Albany,Package Handler,A8R948418093,2 bends in 10 minute window over 65 degrees,2,101.7,89.4,82.5,19.5,66.4,9,112.8,81.4,76.3,21.2,68.6
Albany,Package Handler,A8R975852289,3 bends in 8 minute window over 65 degrees,22,101.5,91,74.6,19.9,68.1,28,101.3,87.6,78.1,22,66.9
Albany,Package Handler,A8R948422201,3 bends in 8 minute window over 65 degrees,29,101.4,86.3,71.5,26.4,66.8,31,96.3,68.9,74.7,26.1,68.9
Albany,Package Handler,A8R948433708,2 bends in 5 minute window over 65 degrees,3,101.2,88.9,97,19.1,61.9,1,114.4,89.5,91.6,22.1,61.9
Albany,Package Handler,A8R948472666,3 bends in 8 minute window over 65 degrees,4,101.1,83.1,74.7,20.5,69.3,1,78.9,78.1,67.6,20.4,73.2
Albany,Package Handler,A8R948467794,2 bends in 10 minute window over 65 degrees,6,101,79.7,62.2,19,73.8,6,99.8,67,65.7,22.2,74
Albany,Package Handler,A8R948433360,3 bends in 8 minute window over 65 degrees,5,101,90.8,108.3,23,55.5,1,126.8,83.3,103.2,26.8,55.8
Albany,Package Handler,A8R948423707,2 bends in 5 minute window over 65 degrees,5,100.8,76.8,64.5,18.6,73.7,,,,,,
Albany,Package Handler,A8R971664362,3 bends in 8 minute window over 65 degrees,6,100.5,87.2,62.5,17.2,73.9,8,103.2,89.1,66.2,17.5,72.4
Albany,Package Handler,A8R976040589,2 bends in 5 minute window over 65 degrees,1,100.4,87.1,49.6,19.6,75.7,,,,,,
Albany,Package Handler,A8R959575562,2 bends in 10 minute window over 65 degrees,3,100.3,74.9,59.5,20.7,74.3,7,105.7,74.1,68,22.6,71.8
Albany,Package Handler,A8R976742452,2 bends in 10 minute window over 65 degrees,13,100,84.4,75.3,20.7,68.8,23,94.1,79,82,21,67.7
Albany,Package Handler,A8R974456402,3 bends in 8 minute window over 65 degrees,9,99.9,76.5,66.7,19.2,73.1,5,111.8,83.8,67.1,19.1,71.5
Albany,Package Handler,A8R952526537,3 bends in 8 minute window over 65 degrees,6,99.7,73.9,80.6,21.7,68.2,26,112.8,78.9,86.4,22.8,64.8
Albany,Package Handler,A8R948414527,3 bends in 8 minute window over 65 degrees,3,99.7,89.8,103.4,20.9,58.8,3,89,79.5,84.7,20.8,67.2
Albany,Package Handler,A8R948430671,3 bends in 8 minute window over 65 degrees,2,99.5,67.1,63.7,20.4,75.4,15,66.6,58.8,65.3,20,77.2
Albany,Package Handler,1108127,2 bends in 10 minute window over 65 degrees,3,99.5,91.6,91.4,18.3,63,1,131,90.1,89.4,24.9,59.5
Albany,Package Handler,A8R948410400,2 bends in 10 minute window over 65 degrees,1,99.3,86.8,75.6,20.1,68.9,3,122.3,88.5,83.9,22.2,64.2
Albany,Package Handler,A8R948439355,2 bends in 5 minute window over 65 degrees,17,99.3,78.1,102.4,20.5,61.2,12,83.4,69.9,120.8,22.9,55.8
Albany,Package Handler,A8R948452350,2 bends in 5 minute window over 65 degrees,19,99,88,86.7,19,65.3,23,97.8,87.2,87.9,18.8,65.3
Albany,Package Handler,A8R963604112,3 bends in 8 minute window over 65 degrees,4,97.8,76.1,63.6,18.3,74.7,,,,,,
Albany,Package Handler,A8R948441695,2 bends in 5 minute window over 65 degrees,8,97.7,87.5,77.7,18.5,68.5,16,90.3,74.4,79.6,20.9,69.6
Albany,Package Handler,A8R948437892,3 bends in 8 minute window over 65 degrees,12,97.5,78.7,67,20,72.9,8,77.6,78.6,74.3,20.6,70.8
Albany,Package Handler,A8R948467716,3 bends in 8 minute window over 65 degrees,8,97.3,90.8,77.2,21.7,66.5,9,93.9,89,76.6,21.2,67.4
Albany,Package Handler,A8R951385810,2 bends in 10 minute window over 65 degrees,7,97.2,80,70.3,17.7,72.1,4,91.6,54.7,87.2,22.3,69.4
Albany,Package Handler,A8R959044629,2 bends in 5 minute window over 65 degrees,13,96.2,93.1,96.7,21.1,59.9,4,76.2,73.4,86.5,22,67.3
Albany,Package Handler,A8R948481442,2 bends in 5 minute window over 65 degrees,4,96.1,79.7,87.6,21.4,65.4,1,97.9,83.6,84.8,21.8,65.8
Albany,Package Handler,A8R965018652,2 bends in 5 minute window over 65 degrees,23,95.9,87.6,69.1,17.7,71.2,37,104.8,86.5,76.5,19.5,68.2
Albany,Package Handler,A8R976622662,2 bends in 10 minute window over 65 degrees,14,95.8,81,67.7,18.6,72.5,18,99.6,81,67.3,19.4,72.3
Albany,Package Handler,A8R948413403,2 bends in 5 minute window over 65 degrees,30,95.8,84.7,93.5,21.9,62.5,35,86,83.1,92,20.9,64
Albany,Package Handler,A8R948433382,2 bends in 10 minute window over 65 degrees,15,95.7,85.3,67.7,21,70.8,18,110.5,84.4,72.5,24.2,67.7
Albany,Package Handler,A8R948452709,3 bends in 8 minute window over 65 degrees,21,95.4,79.3,90.7,18.4,66,19,113.3,79.8,91.1,20.3,64.5
Albany,Package Handler,A8R948413302,2 bends in 10 minute window over 65 degrees,17,95.3,92.6,84,17.2,66.1,3,90.9,95.9,79.9,16.3,67.4
Albany,Package Handler,A8R958488686,2 bends in 5 minute window over 65 degrees,5,94.6,84.3,87.5,19.7,65.2,3,75,73,41.4,12.8,82.7
Albany,Package Handler,A8R963604032,2 bends in 10 minute window over 65 degrees,12,94.4,86.1,71.2,17.8,71.2,2,76.2,68.9,97.4,20.9,64.7
Albany,Package Handler,A8R948419061,2 bends in 5 minute window over 65 degrees,9,94.1,88.2,70.4,20.5,69.8,5,93.4,82.6,63.7,20.1,73.1
Albany,Package Handler,A8R948413232,2 bends in 5 minute window over 65 degrees,18,93.7,76.3,60.2,17.1,76.4,32,85.3,65.3,62.9,18,77.2
Albany,Package Handler,A8R901498326,2 bends in 5 minute window over 65 degrees,7,93.5,87.7,69.6,21.4,69.9,34,78.3,69.4,71.6,22.7,71.8
Albany,Package Handler,A8R957064792,2 bends in 10 minute window over 65 degrees,19,91.7,71,65.5,21.8,73.7,4,90.2,67.7,54.2,20.6,77.5
Albany,Package Handler,A8R948409688,2 bends in 5 minute window over 65 degrees,4,91.4,95.3,78.5,18.4,67.5,5,66.6,80.4,69.2,17.1,73.9
Albany,Package Handler,A8R965235682,3 bends in 8 minute window over 65 degrees,9,91.4,76,76.2,19.2,70.5,,,,,,
Albany,Package Handler,A8R948454341,2 bends in 10 minute window over 65 degrees,17,90.9,83.9,80,16.4,69.9,,,,,,
Albany,Package Handler,A8R948407664,2 bends in 5 minute window over 65 degrees,25,90.8,81.4,73.4,21.8,69.7,20,84.3,83.1,74,21.2,69.6
Albany,Package Handler,A8R948433337,2 bends in 5 minute window over 65 degrees,17,90.8,86.2,83.4,18.5,67.2,12,81.1,76.6,81.6,19.2,69.6
Albany,Package Handler,A8R948436723,2 bends in 10 minute window over 65 degrees,15,90.5,80.1,86.9,19.2,66.7,23,22.4,45,47.1,18.4,83.6
